radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,520,5,40966,76522099,440,100.5624024,13.7130396,633,100,1,1664245683,1737628814,0
LTE,520,4,40966,213961694,499,100.5626115,13.7131308,526,89,1,1616508585,1746069947,0
GSM,520,99,40966,125152798,108,100.562233,13.7129037,974,171,1,1622507920,1737294268,0
LTE,520,18,40966,11795593,415,100.5621298,13.7130259,529,126,1,1553254002,1744937468,0
LTE,520,4,40966,236718057,101,100.5623876,13.7129819,479,98,1,1500746848,1747350838,0
LTE,520,4,40966,222814240,473,100.5625702,13.713124,573,169,1,1508422833,1749835418,0
NR,520,18,5997,172670082,301,100.564995,13.7121321,222,132,1,1577526360,1746966591,0
LTE,520,99,5997,86714409,197,100.5650914,13.711915,561,118,1,1589141782,1747759931,0
NR,520,4,5997,14028499,202,100.5649035,13.711712,230,81,1,1693565610,1754029349,0
NR,520,4,5997,57714707,268,100.5647686,13.7117309,387,27,1,1596539644,1753898963,0
NR,520,4,59238,65886257,278,100.5674376,13.710517,247,76,1,1676811378,1754390146,0
NR,520,18,59238,172220592,359,100.5671079,13.7107766,394,8,1,1613506438,1744354604,0
NR,520,4,59238,193380181,187,100.5671813,13.7106817,216,181,1,1524578420,1743316082,0
NR,520,18,59238,259616876,343,100.5672097,13.7109522,333,69,1,1555918956,1748673687,0
LTE,520,18,59238,268215437,76,100.5671477,13.7107011,676,62,1,1501035773,1746521516,0
LTE,520,18,48699,217574138,436,100.5582138,13.71822,627,126,1,1690442624,1745260071,0
NR,520,4,48699,28499500,90,100.5581117,13.717842,282,62,1,1689624812,1752331358,0
LTE,520,4,48699,153902829,101,100.5577933,13.718392,530,196,1,1690109700,1745423322,0
UMTS,520,5,48699,253875642,442,100.558235,13.7181002,889,143,1,1684551915,1736374307,0
LTE,520,18,48699,211120631,406,100.5582128,13.7181908,586,62,1,1643417180,1737696139,0
GSM,520,4,48699,169012917,85,100.5580006,13.7179641,1018,11,1,1559908554,1753309287,0
LTE,520,5,55060,122436337,332,100.5606484,13.7166108,457,25,1,1692270168,1750100498,0
NR,520,5,55060,125047982,341,100.5602864,13.7169216,370,82,1,1639959094,1751304435,0
NR,520,4,55060,198989047,442,100.5603275,13.7168951,319,163,1,1683127086,1740943110,0
LTE,520,4,55060,12523115,478,100.5604162,13.7170392,548,38,1,1548796959,1735779716,0
NR,520,4,55060,122338884,156,100.5605745,13.7168247,407,171,1,1607679275,1747857504,0
NR,520,5,55060,217858833,189,100.5602036,13.7169879,378,8,1,1593631231,1754201418,0
LTE,520,4,55967,80890579,315,100.5628174,13.7155543,629,61,1,1562744294,1748254947,0
NR,520,4,55967,231608589,251,100.5626393,13.7157258,330,40,1,1577208703,1747774999,0
NR,520,4,55967,244979328,415,100.5627652,13.7157096,378,72,1,1565433641,1736671458,0
UMTS,520,99,55967,193823104,247,100.5625492,13.7157776,765,130,1,1532848047,1746274194,0
UMTS,520,18,55967,266519257,331,100.5626781,13.7154835,693,118,1,1576116952,1751873905,0
NR,520,99,55967,35895508,334,100.5626769,13.7153613,255,108,1,1642149376,1739948191,0
LTE,520,4,21617,235225661,151,100.5650089,13.7142522,377,40,1,1652636190,1753079791,0
LTE,520,4,21617,35186248,368,100.565136,13.7145331,457,54,1,1650753260,1751655886,0
NR,520,4,21617,232664861,189,100.5647879,13.7144207,359,91,1,1519361541,1748250952,0
UMTS,520,5,4595,208433023,116,100.567005,13.7132462,1107,104,1,1663111350,1738816764,0
LTE,520,18,4595,149966098,63,100.5676422,13.7132599,414,11,1,1659907394,1744013297,0
NR,520,25,4595,173012455,44,100.5676047,13.7133548,292,155,1,1562464577,1747824582,0
LTE,520,5,4595,55222851,224,100.5674521,13.7134517,482,68,1,1583954186,1744529182,0
UMTS,520,18,4595,8949433,10,100.5674544,13.7131491,870,144,1,1506384377,1751612813,0
LTE,520,4,60257,34534454,74,100.5695858,13.7116447,599,182,1,1574896428,1753411438,0
LTE,520,4,60257,143583219,289,100.5698229,13.711853,506,185,1,1650078438,1752097069,0
UMTS,520,4,60257,51152322,130,100.5695241,13.711871,650,95,1,1522043131,1741276214,0
LTE,520,5,60257,252284167,501,100.5694156,13.7120802,661,51,1,1683264786,1748202863,0
LTE,520,4,4061,105793166,424,100.5718132,13.7104627,411,25,1,1613765659,1752209513,0
LTE,520,4,4061,70009411,265,100.5719719,13.7104224,449,164,1,1603232237,1749101104,0
NR,520,18,4061,168720700,193,100.5720073,13.7107605,238,36,1,1567890687,1737263832,0
UMTS,520,4,64197,197672766,255,100.5742814,13.7095716,943,109,1,1682991180,1750844623,0
LTE,520,5,64197,10879383,460,100.5741745,13.7093297,658,93,1,1520000478,1750219190,0
UMTS,520,5,64197,188008077,343,100.5739452,13.7096377,1093,68,1,1560328900,1741557875,0
NR,520,4,64197,45000714,489,100.5740813,13.709245,406,66,1,1618526066,1738102605,0
LTE,520,4,64197,117794272,405,100.5738476,13.7093289,448,117,1,1660359325,1744230666,0
UMTS,520,18,52480,172786928,118,100.5581606,13.7209116,841,167,1,1590776688,1748393141,0
LTE,520,18,52480,197632399,366,100.557976,13.7206526,355,131,1,1691670005,1750271934,0
LTE,520,5,52480,125807591,483,100.5579614,13.7209962,546,17,1,1580457640,1746162173,0
UMTS,520,4,52480,18480854,277,100.5579486,13.720828,676,158,1,1618645678,1741483318,0
LTE,520,99,52480,59645522,420,100.5581736,13.720587,597,150,1,1521729515,1746069180,0
LTE,520,5,52889,175364889,323,100.5604002,13.7195907,492,21,1,1611664691,1740818513,0
NR,520,18,52889,106322630,443,100.5603489,13.7195112,280,101,1,1531519263,1751536378,0
LTE,520,99,52889,202485534,359,100.5606401,13.7193517,362,141,1,1577959680,1752185278,0
NR,520,18,52889,230944064,126,100.5604063,13.7193439,298,117,1,1522350519,1738669673,0
LTE,520,18,19179,248777274,187,100.5625806,13.7181567,553,154,1,1689579715,1740622464,0
