radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,520,99,1605,34921,0,100.55,13.71,1672,1,1,0,0,0
UMTS,520,15,20021,42125987,0,100.562,13.71,1000,1,1,0,0,0
UMTS,520,15,13015,42617423,0,100.562,13.71,1000,1,1,0,0,0
UMTS,520,3,13011,42617423,0,100.562,13.71,1000,1,1,0,0,0
UMTS,520,3,13011,42617422,0,100.562,13.71,1000,1,1,0,0,0
UMTS,520,15,20021,42125554,0,100.555,13.71,1374,1,1,0,0,0
LTE,520,4,4010,8886046,0,100.564,13.71,5736,1,1,0,0,0
UMTS,520,4,1604,137728881,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,5,3051,23342601,0,100.556,13.71,9688,1,1,0,0,0
UMTS,520,1,912,154630511,0,100.554,13.71,1328,1,1,0,0,0
UMTS,520,4,1605,137725847,0,100.563,13.71,2448,1,1,0,0,0
GSM,520,18,14612,10098,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,41908255,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,41908265,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,42127753,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,42127764,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,15,1102,6882385,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,42112814,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,5,3051,23354231,0,100.55,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,42127773,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,3,3015,42134969,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,3,15025,41706558,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,3,16025,41908265,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,3,16025,41908255,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,3,16025,41908245,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,5,3053,7341192,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,5,3053,23342368,0,100.552,13.71,1000,1,1,0,0,0
GSM,520,18,14002,1053,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,5,3133,23355389,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,42136525,0,100.561,13.71,1000,1,1,0,0,0
UMTS,520,3,16025,41891812,0,100.561,13.71,1000,1,1,0,0,0
UMTS,520,3,16025,41891822,0,100.561,13.71,1000,1,1,0,0,0
GSM,520,18,10370,5871,0,100.563,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,42136513,0,100.564,13.71,1000,1,1,0,0,0
GSM,520,5,181,4013,0,100.551,13.71,1000,1,1,0,0,0
LTE,520,4,1010,11499806,0,100.552,13.71,1000,1,1,0,0,0
LTE,520,18,3101,64403203,0,100.56,13.71,3749,1,1,0,0,0
LTE,520,3,917,154770041,0,100.559,13.71,2193,1,1,0,0,0
UMTS,520,15,20021,42119070,0,100.561,13.71,1000,1,1,0,0,0
LTE,520,5,112,2004739,0,100.563,13.71,1000,1,1,0,0,0
UMTS,520,15,20021,42119064,0,100.565,13.71,1000,1,1,0,0,0
LTE,520,4,5032,35254146,0,100.551,13.71,1000,1,1,0,0,0
GSM,520,18,14002,403,0,100.551,13.71,1000,1,1,0,0,0
UMTS,520,5,3133,23872441,0,100.552,13.71,1000,1,1,0,0,0
UMTS,520,4,1605,137725993,0,100.551,13.71,4224,1,1,0,0,0
GSM,520,1,16010,553,0,100.551,13.71,1000,1,1,0,0,0
UMTS,520,3,20025,42119073,0,100.566,13.711,1000,1,1,0,0,0
LTE,520,18,3051,64440834,0,100.563,13.711,9462,1,1,0,0,0
UMTS,520,5,847,156929402,0,100.564,13.711,1000,1,1,0,0,0
UMTS,520,15,20021,42114709,0,100.552,13.711,1000,1,1,0,0,0
LTE,520,3,912,156941159,0,100.561,13.711,1000,1,1,0,0,0
UMTS,520,15,20021,42114710,0,100.555,13.711,1000,1,1,0,0,0
UMTS,520,5,1017,10006020,0,100.55,13.711,1000,1,1,0,0,0
LTE,520,18,3051,64297730,0,100.566,13.711,5038,1,1,0,0,0
UMTS,520,0,1016,10127158,0,100.551,13.711,1000,1,1,0,0,0
LTE,520,4,5010,11499776,0,100.551,13.711,2569,1,1,0,0,0
UMTS,520,15,20021,42113506,0,100.561,13.711,1000,1,1,0,0,0
GSM,520,99,1605,36012,0,100.56,13.711,2552,1,1,0,0,0
UMTS,520,18,4010,8886046,0,100.562,13.711,1000,1,1,0,0,0
UMTS,520,3,13015,42619339,0,100.564,13.711,1000,1,1,0,0,0
LTE,520,4,1010,10048256,0,100.551,13.711,1000,1,1,0,0,0
GSM,520,18,14612,1199,0,100.552,13.711,1000,1,1,0,0,0
UMTS,520,3,15025,41706537,0,100.552,13.711,1000,1,1,0,0,0
LTE,520,4,1010,8886016,0,100.563,13.711,1000,1,1,0,0,0
LTE,520,3,912,154630506,0,100.552,13.711,1000,1,1,0,0,0
LTE,520,5,4010,8886046,0,100.559,13.714,1000,1,1,0,0,0
GSM,520,18,14002,2857,0,100.565,13.711,1203,1,1,0,0,0
LTE,520,47,33133,77146636,0,100.552,13.711,1000,1,1,0,0,0
UMTS,520,5,1017,10019277,0,100.553,13.711,1101,1,1,0,0,0
LTE,520,15,2968,154630621,0,100.552,13.711,1000,1,1,0,0,0
UMTS,520,0,1017,10007564,0,100.559,13.711,1000,1,1,0,0,0
UMTS,520,5,1017,9997614,0,100.563,13.711,1000,1,1,0,0,0
LTE,520,3,912,157057638,0,100.559,13.711,1000,1,1,0,0,0
UMTS,520,15,20021,42118674,0,100.553,13.711,1000,1,1,0,0,0
GSM,520,99,16061,5674,0,100.553,13.711,1000,1,1,0,0,0
UMTS,520,0,1017,10019276,0,100.558,13.711,2851,1,1,0,0,0
